series_ticker,market_ticker,end_period_ts,end_period_utc,volume,open_interest,price_open,price_high,price_low,price_close,yes_bid_close,yes_ask_close
KXH200MAX,KXH200MAX-26DEC31-6.090,1787025600,2026-08-18T04:00:00+00:00,0.00,1182.98,,,,,0.6900,0.7600
KXH200MAX,KXH200MAX-26DEC31-6.090,1787112000,2026-08-19T04:00:00+00:00,0.00,1182.98,,,,,0.7100,0.7600
KXH200MAX,KXH200MAX-26DEC31-6.090,1787198400,2026-08-20T04:00:00+00:00,0.00,1182.98,,,,,0.7300,0.7900
KXH200MAX,KXH200MAX-26DEC31-6.090,1787284800,2026-08-21T04:00:00+00:00,37.12,1171.05,0.7900,0.8000,0.7400,0.7400,0.7400,0.7900
KXH200MAX,KXH200MAX-26DEC31-6.090,1787371200,2026-08-22T04:00:00+00:00,82.00,1246.05,0.7900,0.7900,0.7700,0.7700,0.7100,0.7800
KXH200MAX,KXH200MAX-26DEC31-6.090,1787457600,2026-08-23T04:00:00+00:00,0.00,1246.05,,,,,0.7500,0.7600
KXH200MAX,KXH200MAX-26DEC31-6.090,1787544000,2026-08-24T04:00:00+00:00,0.00,1246.05,,,,,0.7300,0.7900
KXH200MAX,KXH200MAX-26DEC31-6.090,1787630400,2026-08-25T04:00:00+00:00,0.00,1246.05,,,,,0.7600,0.7800
KXH200MAX,KXH200MAX-26DEC31-6.090,1787716800,2026-08-26T04:00:00+00:00,0.00,1246.05,,,,,0.7300,0.7800
KXH200MAX,KXH200MAX-26DEC31-6.090,1787803200,2026-08-27T04:00:00+00:00,0.00,1246.05,,,,,0.7300,0.7800
KXH200MAX,KXH200MAX-26DEC31-6.090,1787889600,2026-08-28T04:00:00+00:00,0.00,1246.05,,,,,0.7500,0.7800
KXH200MAX,KXH200MAX-26DEC31-6.090,1787976000,2026-08-29T04:00:00+00:00,0.00,1246.05,,,,,0.7300,0.7800
KXH200MAX,KXH200MAX-26DEC31-6.090,1788062400,2026-08-30T04:00:00+00:00,0.00,1246.05,,,,,0.7500,0.8000
KXH200MAX,KXH200MAX-26DEC31-5.790,1785556800,2026-08-01T04:00:00+00:00,282.97,1607.83,0.8000,0.9200,0.8000,0.9200,0.8000,0.9700
KXH200MAX,KXH200MAX-26DEC31-5.790,1785643200,2026-08-02T04:00:00+00:00,265.26,1620.91,0.8100,0.9500,0.8100,0.8700,0.8800,0.8900
KXH200MAX,KXH200MAX-26DEC31-5.790,1785729600,2026-08-03T04:00:00+00:00,305.20,1390.05,0.9100,0.9100,0.7800,0.7800,0.7800,0.7900
