date,totalTokens,totalGrowthIndex,labs
2026-07-14,2249633836600,128.55438221404464,"[{'lab': 'anthropic', 'totalTokens': 1181119588761, 'growthIndex': 138.83875610365763, 'share': 0.525027482048409}, {'lab': 'openai', 'totalTokens': 530673028710, 'growthIndex': 168.6378702912157, 'share': 0.23589306849688768}, {'lab': 'google', 'totalTokens': 537841219129, 'growthIndex': 92.00912506046872, 'share': 0.23907944945470333}]"
2026-07-15,2257396202974,128.99795938535746,"[{'lab': 'anthropic', 'totalTokens': 1201555116933, 'growthIndex': 141.24092040498635, 'share': 0.5322748019820422}, {'lab': 'openai', 'totalTokens': 524458064586, 'growthIndex': 166.66287202089583, 'share': 0.23232876173666558}, {'lab': 'google', 'totalTokens': 531383021455, 'growthIndex': 90.90431364714011, 'share': 0.23539643628129214}]"
2026-07-16,2333751889532,133.36127307414344,"[{'lab': 'anthropic', 'totalTokens': 1210715841089, 'growthIndex': 142.31774916892374, 'share': 0.5187851572909884}, {'lab': 'openai', 'totalTokens': 585253211070, 'growthIndex': 185.98242186126828, 'share': 0.2507778199109949}, {'lab': 'google', 'totalTokens': 537782837373, 'growthIndex': 91.99913762533359, 'share': 0.23043702279801667}]"
2026-07-17,2295027481378,131.1483830091692,"[{'lab': 'anthropic', 'totalTokens': 1229099699211, 'growthIndex': 144.47874287212875, 'share': 0.5355490115843901}, {'lab': 'openai', 'totalTokens': 518511788705, 'growthIndex': 164.7732578018098, 'share': 0.22592835724723903}, {'lab': 'google', 'totalTokens': 547415993462, 'growthIndex': 93.64709288014872, 'share': 0.23852263116837094}]"
2026-07-18,1503457477788,85.91444709696898,"[{'lab': 'anthropic', 'totalTokens': 769707903697, 'growthIndex': 90.47795746453376, 'share': 0.5119585455981451}, {'lab': 'openai', 'totalTokens': 333106886448, 'growthIndex': 105.85508000374844, 'share': 0.2215605638132792}, {'lab': 'google', 'totalTokens': 400642687643, 'growthIndex': 68.53841215740967, 'share': 0.2664808905885757}]"
2026-07-19,1231738262192,70.38716646652588,"[{'lab': 'anthropic', 'totalTokens': 515865434008, 'growthIndex': 60.6391730829527, 'share': 0.41881091936688436}, {'lab': 'openai', 'totalTokens': 353269281289, 'growthIndex': 112.26230845140887, 'share': 0.2868054781868369}, {'lab': 'google', 'totalTokens': 362603546895, 'growthIndex': 62.031011954904834, 'share': 0.29438360244627876}]"
2026-07-20,1908162365871,109.04113821446431,"[{'lab': 'anthropic', 'totalTokens': 894064186122, 'growthIndex': 105.09584351930125, 'share': 0.4685472274860087}, {'lab': 'openai', 'totalTokens': 480646974405, 'growthIndex': 152.74053464260462, 'share': 0.2518899769756248}, {'lab': 'google', 'totalTokens': 533451205344, 'growthIndex': 91.2581202787687, 'share': 0.2795627955383665}]"
2026-07-21,2182914000764,124.74170517399683,"[{'lab': 'anthropic', 'totalTokens': 1044403397231, 'growthIndex': 122.76798210932714, 'share': 0.4784445914339586}, {'lab': 'openai', 'totalTokens': 540650030921, 'growthIndex': 171.8083732445008, 'share': 0.2476735367182479}, {'lab': 'google', 'totalTokens': 597860572612, 'growthIndex': 102.27670590823061, 'share': 0.2738818718477935}]"
2026-07-22,2111731972471,120.67403801720329,"[{'lab': 'anthropic', 'totalTokens': 978705617418, 'growthIndex': 115.04531108193584, 'share': 0.4634610974198528}, {'lab': 'openai', 'totalTokens': 523925164018, 'growthIndex': 166.49352628067052, 'share': 0.24810211279082908}, {'lab': 'google', 'totalTokens': 609101191035, 'growthIndex': 104.19965162056128, 'share': 0.28843678978931814}]"
2026-07-23,1996462091086,114.08698898360107,"[{'lab': 'anthropic', 'totalTokens': 866878476069, 'growthIndex': 101.90020591962974, 'share': 0.43420733102798403}, {'lab': 'openai', 'totalTokens': 499551673305, 'growthIndex': 158.74809106344335, 'share': 0.25021846171557544}, {'lab': 'google', 'totalTokens': 630031941712, 'growthIndex': 107.78029956674943, 'share': 0.31557420725644053}]"
2026-07-24,1811262771440,103.50385152531338,"[{'lab': 'anthropic', 'totalTokens': 692179766655, 'growthIndex': 81.36464649046333, 'share': 0.3821531461747538}, {'lab': 'openai', 'totalTokens': 498549062219, 'growthIndex': 158.42948018795863, 'share': 0.2752494392752526}, {'lab': 'google', 'totalTokens': 620533942566, 'growthIndex': 106.15546576791235, 'share': 0.3425974145499936}]"
2026-07-25,1314454769428,75.11396658556154,"[{'lab': 'anthropic', 'totalTokens': 407238128397, 'growthIndex': 47.87020359549897, 'share': 0.3098152464951033}, {'lab': 'openai', 'totalTokens': 407721114629, 'growthIndex': 129.56607312592357, 'share': 0.3101826887557527}, {'lab': 'google', 'totalTokens': 499495526402, 'growthIndex': 85.44928265314547, 'share': 0.380002064749144}]"
2026-07-26,1280359401146,73.16560106289617,"[{'lab': 'anthropic', 'totalTokens': 401970660579, 'growthIndex': 47.25102101091892, 'share': 0.31395142662225284}, {'lab': 'openai', 'totalTokens': 314501618131, 'growthIndex': 99.94267696943085, 'share': 0.24563541912489711}, {'lab': 'google', 'totalTokens': 563887122436, 'growthIndex': 96.46482813686654, 'share': 0.44041315425285005}]"
2026-07-27,1698135580822,97.03924565705924,"[{'lab': 'anthropic', 'totalTokens': 658932313064, 'growthIndex': 77.45646044045398, 'share': 0.3880328052163167}, {'lab': 'openai', 'totalTokens': 414372269310, 'growthIndex': 131.67968452069871, 'share': 0.24401601025839106}, {'lab': 'google', 'totalTokens': 624830998448, 'growthIndex': 106.89056813265681, 'share': 0.36795118452529224}]"
2026-07-28,1823189264520,104.1853859710242,"[{'lab': 'anthropic', 'totalTokens': 758567321725, 'growthIndex': 89.16839951800452, 'share': 0.41606614106775786}, {'lab': 'openai', 'totalTokens': 467305428776, 'growthIndex': 148.50084330811782, 'share': 0.25631207789007565}, {'lab': 'google', 'totalTokens': 597316514019, 'growthIndex': 102.18363316976584, 'share': 0.3276217810421665}]"
2026-07-29,1891027335604,108.06196409538973,"[{'lab': 'anthropic', 'totalTokens': 774968138774, 'growthIndex': 91.09628985174751, 'share': 0.4098132925859968}, {'lab': 'openai', 'totalTokens': 509795279016, 'growthIndex': 162.00331557599338, 'share': 0.2695864144413173}, {'lab': 'google', 'totalTokens': 606263917814, 'growthIndex': 103.71427597931819, 'share': 0.3206002929726859}]"
2026-07-30,1989463798133,113.68707446751898,"[{'lab': 'anthropic', 'totalTokens': 827205356170, 'growthIndex': 97.23669286816428, 'share': 0.4157931181991277}, {'lab': 'openai', 'totalTokens': 550015501319, 'growthIndex': 174.78454293232798, 'share': 0.27646419192707034}, {'lab': 'google', 'totalTokens': 612242940644, 'growthIndex': 104.73711439284806, 'share': 0.307742689873802}]"
